                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.22007,                0.16838,                0.87179,                0.98847,                 0.9992,                  0.995,                0.97642,                0.22101,                  0.176,                 0.8099,              5.305e-05,              5.305e-05,              5.305e-05
                     88,                0.21734,                0.17146,                0.87506,                0.98883,                0.99914,                  0.995,                0.97556,                0.22312,                0.17696,                0.81231,             4.9516e-05,             4.9516e-05,             4.9516e-05
                     89,                0.21489,                0.17329,                0.86295,                 0.9889,                0.99925,                  0.995,                 0.9756,                0.21645,                0.17417,                0.80782,             4.5982e-05,             4.5982e-05,             4.5982e-05
                     90,                0.21671,                 0.1693,                 0.8704,                0.98765,                0.99942,                  0.995,                0.97718,                0.21399,                0.17367,                0.80661,             4.2447e-05,             4.2447e-05,             4.2447e-05
                     91,                0.21493,                0.16789,                0.87515,                 0.9871,                0.99942,                  0.995,                 0.9774,                0.21745,                0.17563,                0.80909,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     92,                0.21798,                0.17303,                0.87542,                0.98799,                0.99842,                  0.995,                0.97649,                0.21502,                0.17225,                0.80775,             3.5379e-05,             3.5379e-05,             3.5379e-05
                     93,                0.22602,                0.17267,                0.86729,                0.98751,                0.99849,                  0.995,                0.97899,                0.21424,                0.17162,                0.80666,             3.1844e-05,             3.1844e-05,             3.1844e-05
                     94,                  0.224,                0.17236,                0.87577,                0.98749,                0.99857,                  0.995,                0.97849,                0.21351,                0.17195,                 0.8072,              2.831e-05,              2.831e-05,              2.831e-05
                     95,                0.22278,                0.16863,                0.86629,                0.98773,                0.99904,                  0.995,                0.97793,                 0.2134,                0.17107,                0.80666,             2.4776e-05,             2.4776e-05,             2.4776e-05
                     96,                 0.2164,                0.16728,                0.86938,                0.98844,                0.99902,                  0.995,                0.97862,                0.21324,                0.17004,                0.80704,             2.1242e-05,             2.1242e-05,             2.1242e-05
                     97,                0.21339,                0.16641,                0.87261,                0.98831,                0.99901,                  0.995,                0.97884,                0.21117,                0.16875,                0.80614,             1.7707e-05,             1.7707e-05,             1.7707e-05
                     98,                0.22413,                0.17439,                0.87259,                0.98835,                0.99879,                  0.995,                0.97885,                0.21053,                0.16915,                0.80536,             1.4173e-05,             1.4173e-05,             1.4173e-05
                     99,                0.21007,                0.16323,                 0.8715,                0.98962,                 0.9989,                  0.995,                0.97874,                0.20999,                 0.1687,                0.80501,             1.0639e-05,             1.0639e-05,             1.0639e-05
                    100,                0.21729,                0.16661,                0.87875,                0.98862,                0.99871,                  0.995,                0.97837,                0.20942,                0.16831,                 0.8048,             7.1043e-06,             7.1043e-06,             7.1043e-06
